127.0.0.1 - - [12/Nov/2024:08:31:57 +0100] "POST /wp-cron.php?doing_wp_cron=1731396717.4424068927764892578125 HTTP/1.1" 200 -
127.0.0.1 - - [12/Nov/2024:08:32:06 +0100] "GET /wp-admin/?localwp_auto_login=1 HTTP/1.1" 302 -
127.0.0.1 - - [12/Nov/2024:08:32:06 +0100] "GET /wp-admin/user/ HTTP/1.1" 302 -
127.0.0.1 - - [12/Nov/2024:08:32:08 +0100] "POST /wp-cron.php?doing_wp_cron=1731396728.5860350131988525390625 HTTP/1.1" 200 -
127.0.0.1 - - [12/Nov/2024:08:32:08 +0100] "GET /wp-admin/ HTTP/1.1" 200 71340
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/thickbox/thickbox.css?ver=6.6.2 HTTP/1.1" 200 2659
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=6.6.2 HTTP/1.1" 200 400455
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/css/editor.min.css?ver=6.6.2 HTTP/1.1" 200 26956
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=6.6.2 HTTP/1.1" 200 102997
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6 HTTP/1.1" 200 9141
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.1" 200 1718
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-admin/js/common.min.js?ver=6.6.2 HTTP/1.1" 200 22454
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/admin-bar.min.js?ver=6.6.2 HTTP/1.1" 200 3487
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/clipboard.min.js?ver=2.0.11 HTTP/1.1" 200 9009
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/wp-util.min.js?ver=6.6.2 HTTP/1.1" 200 1426
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381 HTTP/1.1" 200 457
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/underscore.min.js?ver=1.13.4 HTTP/1.1" 200 18833
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/dist/a11y.min.js?ver=d90eebea464f6c09bfd5 HTTP/1.1" 200 2358
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/api-request.min.js?ver=6.6.2 HTTP/1.1" 200 1023
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/dist/url.min.js?ver=36ae0e4dd9043bb8749b HTTP/1.1" 200 8226
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-admin/js/site-health.min.js?ver=6.6.2 HTTP/1.1" 200 6282
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/wp-ajax-response.min.js?ver=6.6.2 HTTP/1.1" 200 2505
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/wp-lists.min.js?ver=6.6.2 HTTP/1.1" 200 7521
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/jquery/jquery.color.min.js?ver=2.2.0 HTTP/1.1" 200 7047
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/jquery/jquery.query.js?ver=2.2.3 HTTP/1.1" 200 3694
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/quicktags.min.js?ver=6.6.2 HTTP/1.1" 200 11132
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-admin/js/edit-comments.min.js?ver=6.6.2 HTTP/1.1" 200 15349
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.3 HTTP/1.1" 200 3428
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/jquery/ui/core.min.js?ver=1.13.3 HTTP/1.1" 200 21464
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-admin/js/postbox.min.js?ver=6.6.2 HTTP/1.1" 200 6705
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/jquery/ui/sortable.min.js?ver=1.13.3 HTTP/1.1" 200 25504
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/dist/deprecated.min.js?ver=e1f84915c5e8ae38964c HTTP/1.1" 200 684
127.0.0.1 - - [12/Nov/2024:08:32:10 +0100] "GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.29.4 HTTP/1.1" 200 57925
